mots	semgram	lemfreq	surfreq	répartition
frapper		23		16
loger		23		16
tes		23		16
ramasser		23		15
ligne		23		14
nord		23		14
produire		23		14
auteur		23		13
créer		23		13
carreau		23		12
chasse		23		11
opérer		23		11
suisse		23		10
litre		23		9
tente		23		9
russe		23		8
ficher		22		20
dès que		22		18
ennuyer		22		18
nombreux		22		18
risquer		22		18
arrière		22		17
brave		22		17
adresser		22		16
avancer		22		16
traverser		22		16
bain		22		15
prononcer		22		15
retard		22		15
santé		22		15
droite	(nom.)	22		14
militaire		22		14
photo		22		14
entretenir		22		13
marchand		22		13
la plupart		22		13
meuble		22		12
numéro		22		12
taper		22		12
installation		22		10
laine		22		10
rôle		22		10
juillet		22		9
devoir	(nom.)	22		8
douleur		22		8
religieux		22		8
jeter		21		19
mien		21		19
terminer		21		19
large		21		18
énormément		21		17
expérience		21		17
centre		21		16
coller		21		16
malheureusement		21		16
nécessaire		21		16
police		21		16
avouer		21		15
inviter		21		15
retenir		21		15
mardi		21		14
jaune		21		12
passage		21		12
promenade		21		12
tante		21		12
fumer		21		11
politique		21		11
syndicat		21		11
bonne	(nom.)	21		9
contact		21		9
fleur		21		9
médecine		21		9
tenue		21		9
émission		21		7
nager		21		7
île		21		6
moto		21		6
musée		21		6
initiative		21		4
coiffeur		21		3
prêt	(adj.)	20		19
complet	(adj.)	20		18
goût		20		18
repasser		20		18
spécial		20		17
condition		20		16
retirer		20		16
actuel		20		15
dîner	(nom.)	20		15
effort		20		15
faute		20		15
octobre		20		15
supposer		20		15
rien du tout		20		15
grand-mère		20		14
intention		20		14
jeudi		20		14
refuser		20		14
surveiller		20		14
tromper		20		13
vérité		20		13
fête		20		12
mécanique		20		12
nettoyer		20		12
chaleur		20		11
éducation		20		11
garage		20		11
période		20		11
pointe		20		11
tableau		20		10
programme		20		9
château		20		8
excursion		20		5
guide		20		3
inventeur		20		3
amour		19		
art		19		
avance		19		
avance	(avance	19	6	
avance	(à l'avance	19	10	
avance	(d'avance	19	13	
beurre		19		
cacher		19		
cacher	(cacher	19	15	
cacher	(se cacher	19	4	
centimètre		19		
ceux-la		19		
charmant		19		
charmant	charmant	19	10	
charmant	charmante	19	9	
concert		19		
crise		19		
déjeuner		19		
déplacer		19		
déplacer	(déplacer	19	8	
déplacer	(se déplacer	19	11	
dès		19		
domestique		19		
égal		19		
égal	égal	19	18	
égal	égaux	19	1	
épatant		19		
épatant	épatant	19	15	
épatant	épatante	19	4	
expression		19		
laquelle		19		
linge		19		
marquer		19		
marrant		19		
marrant	marrant	19	17	
marrant	marrante	19	2	
panne		19		
patois		19		
pluie		19		
pomme		19		
